sample_id,timestamp,fix_id,duration,fix_x,fix_Y,pt_x,pt_y
1,1529085905649431,-1,-1,0,0,-1280,-1024
2,1529085905657764,-1,-1,0,0,-1280,-1024
3,1529085905666051,-1,-1,0,0,-1280,-1024
4,1529085905674384,-1,-1,0,0,-1280,-1024
5,1529085905682851,-1,-1,0,0,-1280,-1024
6,1529085905691161,-1,-1,0,0,-1280,-1024
7,1529085905699494,-1,-1,0,0,-1280,-1024
8,1529085905707717,-1,-1,0,0,568.7823920795927,649.007338662399
9,1529085905716095,-1,-1,0,0,570.5658711366414,651.5791778663406
10,1529085905724339,1,116610,571.8811121025647,649.5901167092845,570.0249553026515,649.3843768867664
11,1529085905732844,1,116610,571.8811121025647,649.5901167092845,570.6466076643846,649.3222814329201
12,1529085905740971,1,116610,571.8811121025647,649.5901167092845,571.4301817191881,648.5164863354294
13,1529085905749467,1,116610,571.8811121025647,649.5901167092845,572.3744668728614,645.4692219558638
14,1529085905757585,1,116610,571.8811121025647,649.5901167092845,571.1519452184439,645.7517548776232
15,1529085905766087,1,116610,571.8811121025647,649.5901167092845,569.8007417851477,648.6404951901641
16,1529085905774207,1,116610,571.8811121025647,649.5901167092845,571.0872545612801,650.5687572687166
17,1529085905782725,1,116610,571.8811121025647,649.5901167092845,568.8614471399342,650.8318932880647
18,1529085905790956,1,116610,571.8811121025647,649.5901167092845,569.8472147696884,650.1710502390051
19,1529085905799334,1,116610,571.8811121025647,649.5901167092845,569.4176733167842,645.1261737480527
20,1529085905807576,1,116610,571.8811121025647,649.5901167092845,570.2611663937569,646.7720395798096
21,1529085905816082,1,116610,571.8811121025647,649.5901167092845,572.0456976568676,650.4813186035026
22,1529085905824200,1,116610,571.8811121025647,649.5901167092845,572.1712397092779,651.7808544929139
23,1529085905832720,1,116610,571.8811121025647,649.5901167092845,570.7787082499999,655.007167496602
24,1529085905840949,1,116610,571.8811121025647,649.5901167092845,588.3173811782035,656.027879243833
25,1529085905849322,-1,-1,0,0,644.5989021728747,660.9512613312108
